cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
492,1,1.0,24,39,58,-41.28192517161369,-35.447629392147064,41.176361083984375,-41.28192517161369,-35.447629392147064,41.176361083984375,"Supramarginal Gyrus, anterior division",Left Cerebral Cortex,"Supramarginal Gyrus, anterior division"
493,16,1.0,24,39,60,-41.28192517161369,-35.447629392147064,45.176361083984375,-33.739601818844676,-36.24054136686027,44.426361083984375,Postcentral Gyrus,Left Cerebral Cortex,Postcentral Gyrus
494,4,1.0,24,42,38,-41.54671937227249,-29.453475177288055,1.176361083984375,-39.093293592333794,-28.344118827953935,0.676361083984375,,Left Cerebral White Matter,Left Cerebral White Matter
495,4,1.0,24,45,44,-41.81151357293129,-23.459320962429047,13.176361083984375,-40.92282123118639,-20.917624447494745,14.676361083984375,Heschl's Gyrus (includes H1 and H2),Left Cerebral Cortex,Heschl's Gyrus (includes H1 and H2)
496,2,1.0,24,47,24,-41.988043040037155,-19.46321815252304,-26.823638916015625,-40.94488741457462,-20.418111596256495,-25.823638916015625,"Temporal Fusiform Cortex, posterior division",Left Cerebral Cortex,"Temporal Fusiform Cortex, posterior division"
497,2,1.0,24,47,37,-41.988043040037155,-19.46321815252304,-0.823638916015625,-40.94488741457462,-20.418111596256495,-0.823638916015625,Planum Polare,Left Cerebral Cortex,Planum Polare
498,3,1.0,24,48,10,-42.07630777359009,-17.465166747570038,-54.823638916015625,-40.04883967836698,-18.042919365068286,-54.156972249348954,,,
499,2,1.0,24,48,55,-42.07630777359009,-17.465166747570038,35.176361083984375,-42.120440140366554,-16.466141045093536,35.176361083984375,Postcentral Gyrus,Left Cerebral Cortex,Postcentral Gyrus
500,1,1.0,24,49,40,-42.16457250714302,-15.467115342617035,5.176361083984375,-42.16457250714302,-15.467115342617035,5.176361083984375,Heschl's Gyrus (includes H1 and H2),Left Cerebral Cortex,Heschl's Gyrus (includes H1 and H2)
501,1,1.0,24,49,51,-42.16457250714302,-15.467115342617035,27.176361083984375,-42.16457250714302,-15.467115342617035,27.176361083984375,,Left Cerebral White Matter,Left Cerebral White Matter
502,1,1.0,24,49,67,-42.16457250714302,-15.467115342617035,59.176361083984375,-42.16457250714302,-15.467115342617035,59.176361083984375,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus
503,1,1.0,24,50,27,-42.25283724069595,-13.469063937664032,-20.823638916015625,-42.25283724069595,-13.469063937664032,-20.823638916015625,,Left Cerebral White Matter,Left Cerebral White Matter
